Time_min,Temp_In_C,Temp_Out_C
44.9833333333333,69.25,69.8
45,69.63,69.68
45.0166666666667,69.52,70.12
45.0333333333333,69.34,70.36
45.05,69.7,70.25
45.0666666666667,70.03,71.38
45.0833333333333,69.68,71.45
45.1,69.7,70.83
45.1166666666667,69.39,70.83
45.1333333333333,69.35,71.02
45.15,69.8,70.77
45.1666666666667,70.19,70.95
45.1833333333333,69.71,71.29
45.2,69.96,71.57
45.2166666666667,69.77,71.32
45.2333333333333,69.65,70.98
45.25,69.96,71.02
45.2666666666667,69.8,70.99
45.2833333333333,69.49,71.11
45.3,69.85,71.08
45.3166666666667,70.01,70.89
45.3333333333333,69.86,70.07
45.35,69.35,70.32
45.3666666666667,69.81,70.25
45.3833333333333,69.64,70.07
45.4,69.62,69.82
45.4166666666667,69.91,70.11
45.4333333333333,69.78,69.21
45.45,70.16,69.71
45.4666666666667,70.03,70.52
45.4833333333333,69.7,68.41
45.5,69.58,69.03
45.5166666666667,69.79,69.17
45.5333333333333,69.74,68.6
45.55,69.61,67.35
45.5666666666667,70.25,69.03
45.5833333333333,69.97,69.55
45.6,69.94,68.72
45.6166666666667,69.71,69.22
45.65,69.68,69.2
45.6666666666667,69.68,68.92
45.6833333333333,69.71,69.38
45.7,69.81,68.65
45.7166666666667,68.96,69.35
45.7333333333333,69.94,69.47
45.75,69.52,69.68
45.7666666666667,70.03,69.81
45.7833333333333,69.41,70.23
45.8,69.68,69.72
45.8166666666667,70.04,69.99
45.8333333333333,69.37,70.41
45.85,69.79,70.46
45.8666666666667,69.7,70.48
45.8833333333333,69.99,70.26
45.9,70.11,70.43
45.9166666666667,70.4,70.37
45.9333333333333,69.92,70.61
45.95,69.49,70.46
45.9666666666667,70.36,70.29
45.9833333333333,69.56,69.74
46,69.69,70.17
46.0166666666667,69.59,70.1
46.0333333333333,69.99,69.47
46.05,69.72,69.69
46.0666666666667,69.81,69.82
46.0833333333333,70.21,69.88
46.1,70.36,69.78
46.1166666666667,70.09,69.47
46.1333333333333,69.39,70.53
46.15,69.88,68.92
46.1666666666667,70.07,68.89
46.1833333333333,69.52,68.99
46.2,70.39,68.91
46.2166666666667,69.53,68.86
46.2333333333333,69.67,69.27
46.25,70.16,68.55
46.2666666666667,70.11,69.04
46.2833333333333,70.11,68.5
46.3,70.34,68.74
46.3166666666667,69.86,68.34
46.3333333333333,69.91,68.82
46.35,70.16,68.87
46.3666666666667,69.98,68.79
46.3833333333333,70.26,68.7
46.4,70.12,68.78
46.4166666666667,69.96,69.27
46.4333333333333,70.19,68.51
46.45,70.1,69.05
46.4666666666667,70.02,68.57
46.5,69.82,68.59
46.5166666666667,69.71,68.83
46.5333333333333,70.24,68.52
46.55,69.93,68.9
46.5666666666667,69.91,69.41
46.5833333333333,69.77,69.02
46.6,70.22,68.68
46.6166666666667,70.03,68.17
46.6333333333333,70.34,68.62
46.65,69.8,68.63
46.6666666666667,69.8,68.55
46.6833333333333,70.45,68.46
46.7,69.03,68.48
46.7166666666667,70.19,68.24
46.7333333333333,69.9,68.57
46.75,70.24,68.32
46.7666666666667,70.14,68.35
46.7833333333333,70.22,68.08
46.8,70.19,68.17
46.8166666666667,70.14,67.25
46.8333333333333,70.27,68
46.85,69.94,67.8
46.8666666666667,70.27,67.1
46.8833333333333,69.58,67.91
46.9,69.92,67.63
46.9166666666667,70.52,66.96
46.9333333333333,69.98,66.89
46.95,70.79,67.37
46.9666666666667,70.35,66.91
46.9833333333333,70.07,66.8
47,70.58,66.83
47.0166666666667,70.04,66.53
47.0333333333333,70.09,66.61
47.05,70.43,66.73
47.0666666666667,70.45,66.44
47.0833333333333,70.58,66.34
47.1,70.43,66.18
47.1166666666667,69.78,66.28
47.1333333333333,70.08,66.28
47.15,70.29,66.31
47.1666666666667,70.19,66.26
47.1833333333333,70.25,66.03
47.2,70.56,66.19
47.2166666666667,70.05,66.08
47.2333333333333,70.55,65.77
47.25,70.23,65.58
47.2666666666667,70.08,65.89
47.2833333333333,70.25,65.74
47.3,69.96,65.64
47.3166666666667,70.1,65.1
47.35,70.22,65.42
47.3666666666667,70.06,65.36
47.3833333333333,70.03,65.27
47.4,70.07,65.15
47.4166666666667,70.58,64.92
47.4333333333333,70.1,65.02
47.45,70.2,64.53
47.4666666666667,70.2,64.74
47.4833333333333,70.62,64.79
47.5,69.63,63.85
47.5166666666667,70.54,64.51
47.5333333333333,70.3,64.77
47.55,70.36,64.35
47.5666666666667,70.05,64.17
47.5833333333333,70.13,64.43
47.6,70.36,64.25
47.6166666666667,70.14,64.23
47.6333333333333,70.43,64.04
47.65,70.03,63.88
47.6666666666667,70.1,63.88
47.6833333333333,70.1,63.62
47.7,70.2,63.64
47.7166666666667,70.26,63.45
47.7333333333333,70.24,63.08
47.75,70.43,63.24
47.7666666666667,70.8,63.33
47.7833333333333,70.57,63.37
47.8,70.66,62.78
47.8166666666667,70.34,62.69
47.8333333333333,70.32,62.95
47.85,69.99,63.26
47.8666666666667,70.19,63.17
47.8833333333333,70.1,62.89
47.9,70.16,62.57
47.9166666666667,70.31,62.25
47.9333333333333,69.78,62.68
47.95,70.2,62.38
47.9666666666667,70.26,62.39
47.9833333333333,70.47,62.24
48,70.48,62.44
48.0166666666667,70.17,62.4
48.0333333333333,70.29,61.73
48.05,70.29,61.72
48.0666666666667,70.43,62.22
48.0833333333333,70.15,61.67
48.1,69.82,62.11
48.1166666666667,70.25,61.68
48.1333333333333,69.88,62.47
48.15,70.72,61.62
48.1666666666667,69.96,61.7
48.2,70.11,61.38
48.2166666666667,70.39,61.48
48.2333333333333,70.65,61.5
48.25,70.02,61.46
48.2666666666667,70.09,61.47
48.2833333333333,70.34,61.1
48.3,69.81,61.35
48.3166666666667,70.25,61.21
48.3333333333333,70.32,61.25
48.35,70.2,61.07
48.3666666666667,70.24,61.18
48.3833333333333,70.29,61.11
48.4,70.43,61.24
48.4166666666667,70.08,61.11
