Hours,T_In,T_Out
18.6666666666667,53.6599999999999,47.7900000000004
18.75,52.23,58.74
18.8333333333333,52.37,45.2
18.9166666666667,53.9300000000001,49.5
19,51.13,62
19.0833333333333,51.92,49.12
19.1666666666667,52.2299999999997,54.7100000000029
19.25,52.71,60.73
19.3333333333333,52.06,47.72
19.4166666666667,53.3999999999994,54.6600000000002
19.5,52.34,55.85
19.5833333333333,52.51,50.54
19.6666666666667,53.3399999999999,47.6800000000014
19.75,52.53,56.54
19.8333333333333,52.05,47.13
19.9166666666667,53.3700000000001,47.4400000000001
20,51.41,63.99
20.0833333333333,53.33,48.08
20.1666666666667,51.6600000000004,58.2900000000003
20.25,51.38,54.8
20.3333333333333,53.46,47.7
20.4166666666667,53.31,55.7800000000002
20.5,51.57,55.44
20.5833333333333,52.34,47.11
20.6666666666667,53.9199999999997,48.7600000000002
20.75,51.48,66.91
20.8333333333333,52.98,45.43
20.9166666666667,53.5600000000001,51.6600000000015
21,53.41,47.85
21.0833333333333,53.9,50.86
21.1666666666667,52.1599999999996,61.0499999999978
21.25,52.25,47.82
21.3333333333333,53,53.4
21.4166666666667,52.4899999999996,62.0499999999996
21.5,52.54,48.17
21.5833333333333,52.02,63.85
21.6666666666667,53.2299999999995,45.63
21.75,54.22,49.82
21.8333333333333,51.67,59.41
21.9166666666667,53.6800000000002,45.9900000000007
22,52.19,63.42
22.0833333333333,53.29,47.46
22.1666666666667,50.5899999999993,66.4499999999982
22.25,54.15,49.29
22.3333333333333,53.53,57.01
22.4166666666667,52.309999999999,64.5500000000008
22.5,53.33,53.65
22.5833333333333,51.65,63.61
22.6666666666667,50.9500000000005,53.3999999999972
22.75,53.39,47.33
22.8333333333333,52.36,55.32
22.9166666666667,51.5300000000001,59.1199999999974
23,53.55,46.58
23.0833333333333,53.84,55.58
23.1666666666667,51.6600000000002,65.2800000000001
23.25,51.89,49.75
23.3333333333333,53.26,55.94
23.4166666666667,51.840000000001,63.1000000000023
23.5,51.74,54.05
23.5833333333333,52.93,59.15
23.6666666666667,51.5699999999999,64.6899999999981
23.75,52.92,47.08
23.8333333333333,53.75,49.82
23.9166666666667,52.2599999999996,62.6900000000008
24,52.38,49.46
24.0833333333333,53.6,53.96
24.1666666666667,51.0200000000001,64.0599999999998
24.25,51.87,57.63
24.3333333333333,52.3,53.11
24.4166666666667,53.1799999999992,61.1400000000001
24.5,51.48,58.58
24.5833333333333,52.02,50.87
24.6666666666667,52.7000000000003,49.2100000000006
24.75,53.27,57.85
24.8333333333333,52.36,62.31
24.9166666666667,52.95,47.6100000000005
25,52.52,62.44
25.0833333333333,52.21,53.86
25.1666666666667,53.0099999999995,58.199999999999
25.25,52.99,56.25
25.3333333333333,52.27,59.77
25.4166666666667,52.4900000000001,53.6199999999994
25.5,53.93,51.5
25.5833333333333,51.23,59.52
25.6666666666667,52.7900000000001,48.0000000000008
25.75,53.26,56.23
25.8333333333333,51.87,58.38
25.9166666666667,53.2399999999998,48.4099999999999
26,52.67,58.93
26.0833333333333,51.48,65.28
26.1666666666667,51.68,50.81
26.25,52.6,53.51
26.3333333333333,52.16,59.93
26.4166666666667,51.4600000000009,65.5700000000001
26.5,52.54,53.34
26.5833333333333,52.19,63.01
26.6666666666667,51.4300000000006,52.7999999999995
26.75,53.35,49.19
26.8333333333333,52.98,59.77
26.9166666666667,51.7800000000003,49.5999999999991
27,53.35,48.81
27.0833333333333,52.15,56.25
27.1666666666667,52.2499999999998,63.9600000000003
27.25,52.34,51.62
27.3333333333333,52.81,54.69
27.4166666666667,52.9499999999998,59.060000000001
27.5,53.03,63.22
27.5833333333333,52.25,48.37
27.6666666666667,53.1899999999993,51.770000000001
27.75,51.97,64.08
27.8333333333333,51.67,48.99
27.9166666666667,51.5900000000004,66.2499999999972
28,50.42,51.46
28.0833333333333,52.56,52.38
28.1666666666667,51.94,57.5999999999985
28.25,53.61,47.96
28.3333333333333,52.64,55.47
28.4166666666667,50.9900000000004,64.2599999999979
28.5,52.49,48.51
28.5833333333333,52.53,60.19
28.6666666666667,52.1399999999998,50.9099999999992
28.75,52.94,47.75
