Hours,T_In,T_Out
1.8537,63.2556000000006,70.8472000000001
1.85925,63.374,70.4629999999998
1.8648,63.108,71.3128
1.87035,63.6564000000001,68.1554000000007
1.8759,63.4860000000003,71.6468000000004
1.88145,63.8394999999997,69.4760000000002
1.887,64.0100000000001,72.0719999999994
1.89255,63.5745999999988,70.1201999999964
1.8981,64.1660000000001,71.2072000000007
1.90365,63.9032000000001,70.3863999999999
1.9092,64.3468,71.1924
1.91475,63.8930000000003,70.9429999999994
1.9203,63.8531999999996,70.8491999999999
1.92585,64.0626000000001,70.9120000000001
1.9314,61.7568000000006,69.5140000000001
1.93695,63.7560000000003,71.4538000000002
1.9425,64.0499999999985,69.2199999999997
1.94805,64.0252000000002,71.3535999999999
1.9536,64.1524,68.9628000000002
1.95915,64.5643999999997,71.9272000000005
1.9647,64.0963999999988,69.0631999999997
1.97025,64.6010000000005,71.5960000000007
1.9758,64.6712000000008,69.2931999999991
1.98135,64.0663999999996,71.8478000000003
1.9869,64.5272000000001,70.0988000000008
1.99245,64.5738000000001,71.4636000000009
1.998,64.8619999999998,70.7979999999992
2.00355,64.466,70.4978000000001
2.0091,63.764,70.7832
2.01465,64.3568,69.6218
2.0202,64.8988000000002,71.0772
2.02575,64.3840000000001,69.4319999999997
2.0313,64.4583999999995,72.0704000000002
2.03685,64.2314000000003,69.0651999999992
2.0424,64.3779999999995,71.8519999999996
2.04795,64.4265999999996,69.6357999999985
2.0535,64.8680000000003,71.6080000000007
2.05905,65.2035999999997,69.4726
2.0646,64.8383999999998,71.0187999999998
2.07015,64.7246,70.4544
2.0757,65.4799999999999,70.664
2.08125,65.2500000000002,71.2350000000007
2.0868,65.0543999999989,69.7924000000006
2.09235,64.7514000000001,71.3001999999998
2.0979,64.5560000000005,69.3027999999995
2.10345,65.5195999999993,71.6025999999995
2.109,64.6359999999996,68.7340000000001
2.11455,65.0712,72.171
2.1201,65.1440000000002,69.4188000000002
2.12565,65.4621999999999,70.8374000000003
2.1312,65.0379999999994,70.8655999999998
2.13675,65.002,70.6190000000003
2.1423,65.2224,71.2939999999999
2.14785,65.3346,70.3496
2.1534,65.4412,71.1064
2.15895,65.4248000000001,69.3122000000001
2.1645,65.707,71.1130000000006
2.17005,64.9778000000002,69.806999999999
2.1756,65.1327999999998,71.7571999999989
2.18115,64.806800000001,69.3622000000002
2.1867,65.0720000000005,70.5692000000013
2.19225,65.1660000000001,69.0889999999995
2.1978,65.5803999999996,71.0032000000003
2.20335,65.3784000000001,69.3210000000003
2.2089,65.0583999999999,71.4796
2.21445,65.6671999999998,70.0727999999994
2.22,66.0300000000001,71.5299999999994
2.22555,65.7705999999992,70.3420000000006
2.2311,65.9832000000009,70.4119999999999
2.23665,65.5716000000002,70.0491999999985
2.2422,65.5083999999996,68.6647999999999
2.24775,66.0409999999999,70.7889999999999
2.2533,66.0552000000007,69.504800000001
2.25885,65.9616000000004,71.1313999999996
2.2644,64.4807999999989,68.9235999999999
2.26995,66.111,71.8727999999998
2.2755,65.4840000000002,69.9320000000004
2.28105,65.2678,70.1538
2.2866,65.9064,70.9408
2.29215,66.0271,70.4926
2.2977,65.5327999999993,70.9967999999992
2.30325,65.787,69.7630000000007
